allocation_id,order_id,order_line_id,inventory_id,allocated_qty_kg,allocated_qty_units,allocated_at,allocated_by,expiry_ts,status,reason,release_ts
ALLOC9001,B2BORD4001,B2BOL5012,INV_1029,474.91,151,2025-12-02 01:58:16,Abram Chandra,2025-12-01 14:17:00,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9002,B2BORD4002,B2BOL5012,INV_6213,461.31,161,2025-12-01 03:50:43,Amani Gala,2025-12-02 07:47:03,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9003,B2BORD4003,B2BOL5032,INV_3304,172.27,24,2025-11-24 00:23:43,Vanya Dass,2025-12-02 08:12:46,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9004,B2BORD4004,B2BOL5021,INV_3750,321.73,27,2025-11-28 19:38:33,Kaira Barad,2025-12-01 10:19:43,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9005,B2BORD4005,B2BOL5001,INV_5345,112.75,182,2025-11-24 22:11:55,Aarush Sant,2025-12-01 19:22:02,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9006,B2BORD4006,B2BOL5017,INV_2770,363.0,17,2025-11-23 00:35:43,Navya Kohli,2025-12-01 14:09:30,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9007,B2BORD4007,B2BOL5047,INV_7875,484.86,110,2025-11-23 05:03:40,Indrajit Shetty,2025-12-02 07:07:57,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9008,B2BORD4008,B2BOL5023,INV_9946,193.92,127,2025-11-29 14:48:52,Alia Gade,2025-12-01 22:23:07,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9009,B2BORD4009,B2BOL5029,INV_2207,401.61,13,2025-11-23 18:42:30,Adah Chhabra,2025-12-02 02:14:55,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9010,B2BORD4010,B2BOL5021,INV_5278,476.31,23,2025-11-23 01:37:36,Tarini Raman,2025-12-02 00:54:11,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9011,B2BORD4011,B2BOL5025,INV_3636,368.67,145,2025-11-30 08:13:50,Lakshay Sarna,2025-12-01 10:13:16,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9012,B2BORD4012,B2BOL5039,INV_8909,355.21,115,2025-11-24 07:30:22,Ehsaan Kaur,2025-12-01 23:28:30,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9013,B2BORD4013,B2BOL5011,INV_1877,59.62,57,2025-11-28 20:29:34,Fateh Zachariah,2025-12-01 15:21:35,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9014,B2BORD4014,B2BOL5045,INV_9849,139.98,77,2025-11-27 11:06:01,Divyansh Varkey,2025-12-01 16:56:59,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9015,B2BORD4015,B2BOL5007,INV_1813,202.52,145,2025-11-26 19:31:32,Jhanvi Chakrabarti,2025-12-02 08:38:42,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9016,B2BORD4016,B2BOL5004,INV_6911,11.87,27,2025-11-26 20:25:48,Stuvan Issac,2025-12-01 15:11:30,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9017,B2BORD4017,B2BOL5013,INV_2589,22.61,48,2025-11-24 11:12:57,Kismat Babu,2025-12-02 06:37:24,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9018,B2BORD4018,B2BOL5031,INV_2892,161.09,106,2025-11-29 06:28:43,Rohan Barad,2025-12-01 20:15:00,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9019,B2BORD4019,B2BOL5043,INV_5341,54.66,144,2025-11-24 21:58:35,Aaryahi Vaidya,2025-12-01 16:30:55,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9020,B2BORD4020,B2BOL5024,INV_7249,191.01,119,2025-12-01 14:59:31,Stuvan Joshi,2025-12-01 20:00:56,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9021,B2BORD4021,B2BOL5029,INV_8619,139.07,73,2025-11-26 16:27:33,Sahil Kothari,2025-12-02 01:17:23,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9022,B2BORD4022,B2BOL5049,INV_2584,52.0,93,2025-11-26 17:41:06,Parinaaz Kothari,2025-12-02 03:04:43,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9023,B2BORD4023,B2BOL5036,INV_1999,421.99,138,2025-11-26 07:02:25,Jhanvi Jani,2025-12-01 22:40:56,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9024,B2BORD4024,B2BOL5037,INV_4860,243.37,25,2025-11-23 00:36:04,Anahi Ram,2025-12-02 06:32:11,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9025,B2BORD4025,B2BOL5033,INV_9467,402.22,178,2025-11-25 18:57:03,Darshit Bawa,2025-12-01 22:59:57,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9026,B2BORD4026,B2BOL5049,INV_8357,94.71,47,2025-11-22 10:54:29,Mannat Biswas,2025-12-01 21:26:43,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9027,B2BORD4027,B2BOL5009,INV_1699,217.45,179,2025-11-27 22:18:25,Sahil Viswanathan,2025-12-01 15:24:46,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9028,B2BORD4028,B2BOL5041,INV_3422,418.71,71,2025-11-26 23:27:10,Miraya Gokhale,2025-12-01 11:04:08,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9029,B2BORD4029,B2BOL5006,INV_7358,282.62,146,2025-11-29 00:15:24,Vedika Soni,2025-12-01 20:16:52,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9030,B2BORD4030,B2BOL5034,INV_8506,459.41,8,2025-11-27 07:59:42,Rania Ratti,2025-12-01 23:34:13,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9031,B2BORD4031,B2BOL5027,INV_3451,82.62,155,2025-11-30 22:28:14,Dishani Grewal,2025-12-01 10:31:59,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9032,B2BORD4032,B2BOL5037,INV_2654,395.02,142,2025-11-23 15:09:04,Hridaan Singh,2025-12-02 02:17:56,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9033,B2BORD4033,B2BOL5017,INV_7275,330.85,151,2025-12-02 01:59:48,Aniruddh Reddy,2025-12-02 07:45:18,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9034,B2BORD4034,B2BOL5012,INV_5512,207.46,163,2025-11-26 10:50:53,Faiyaz Chanda,2025-12-01 17:32:37,RELEASED,Normal allocation,2025-12-02 09:22:49
ALLOC9035,B2BORD4035,B2BOL5026,INV_6431,348.35,17,2025-11-24 12:13:26,Prerak Sarma,2025-12-01 23:17:51,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9036,B2BORD4036,B2BOL5024,INV_1331,175.55,82,2025-11-24 00:31:53,Uthkarsh Dara,2025-12-01 21:11:00,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9037,B2BORD4037,B2BOL5032,INV_2609,486.52,63,2025-11-23 13:19:12,Diya Kata,2025-12-01 18:58:33,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9038,B2BORD4038,B2BOL5048,INV_8259,389.28,87,2025-11-28 02:39:14,Saksham Sampath,2025-12-01 12:55:54,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9039,B2BORD4039,B2BOL5039,INV_2462,102.09,59,2025-11-29 15:22:39,Raghav Goyal,2025-12-02 05:46:49,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9040,B2BORD4040,B2BOL5049,INV_9462,434.92,19,2025-12-01 06:02:42,Mamooty Yadav,2025-12-02 08:23:35,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9041,B2BORD4041,B2BOL5020,INV_9303,207.66,139,2025-11-25 03:30:48,Damini Venkatesh,2025-12-01 20:03:31,ACTIVE,Normal allocation,2025-12-02 09:22:49
ALLOC9042,B2BORD4042,B2BOL5013,INV_4288,420.12,68,2025-11-30 00:05:56,Adah Rajagopal,2025-12-01 22:01:49,ACTIVE,Shortage,2025-12-02 09:22:49
ALLOC9043,B2BORD4043,B2BOL5004,INV_6904,355.27,75,2025-11-26 14:47:39,Hridaan Bhavsar,2025-12-02 05:24:34,RELEASED,Shortage,2025-12-02 09:22:49
ALLOC9044,B2BORD4044,B2BOL5033,INV_7503,321.35,36,2025-11-30 07:22:09,Dhanush Bhattacharyya,2025-12-01 09:38:08,ACTIVE,Normal allocation,2025-12-02 09:22:49
