payment_id,invoice_id,customer_id,payment_ts,amount,payment_mode,bank_ref_no,status,reconciled_flag,reconciled_at,created_by,notes
PAY14001,INV13001,CUST1001,2025-10-21 17:52:53,7029.62,RTGS,BR23090,FAILED,False,2025-10-21 17:52:53,Aaryahi Bajaj,
PAY14002,INV13002,CUST1002,2025-10-24 08:31:27,20198.21,CHEQUE,BR35698,SUCCESS,True,2025-10-25 08:31:27,Vaibhav Vaidya,
PAY14003,INV13003,CUST1003,2025-11-04 01:15:49,46781.34,RTGS,BR65249,PENDING,True,2025-11-06 01:15:49,Jivika Ramachandran,
PAY14004,INV13004,CUST1004,2025-11-05 09:04:07,31898.51,UPI,BR73782,PENDING,False,2025-11-07 09:04:07,Divij Bava,
PAY14005,INV13005,CUST1005,2025-11-24 21:06:15,33646.71,NEFT,BR62219,SUCCESS,True,2025-11-24 21:06:15,Ranbir Tak,
PAY14006,INV13006,CUST1006,2025-10-27 07:14:33,13436.68,UPI,BR72460,FAILED,True,2025-10-28 07:14:33,Aarush Batra,
PAY14007,INV13007,CUST1007,2025-11-04 06:00:14,13659.16,UPI,BR57312,PENDING,False,2025-11-05 06:00:14,Parinaaz Shanker,
PAY14008,INV13008,CUST1008,2025-10-31 01:35:58,1150.43,NEFT,BR56018,FAILED,True,2025-11-02 01:35:58,Navya Kaul,
PAY14009,INV13009,CUST1009,2025-11-17 01:19:23,11953.48,RTGS,BR47304,PENDING,False,2025-11-19 01:19:23,Renee Lala,
PAY14010,INV13010,CUST1010,2025-11-07 13:55:48,31301.82,CHEQUE,BR20277,PENDING,False,2025-11-08 13:55:48,Eva Suri,
PAY14011,INV13011,CUST1011,2025-11-12 05:35:00,11318.15,RTGS,BR31964,FAILED,False,2025-11-13 05:35:00,Shayak Lall,
PAY14012,INV13012,CUST1012,2025-11-22 06:13:45,23345.17,CHEQUE,BR19351,SUCCESS,True,2025-11-23 06:13:45,Sumer Krishnamurthy,
PAY14013,INV13013,CUST1013,2025-11-18 16:44:04,14610.79,UPI,BR95591,PENDING,False,2025-11-20 16:44:04,Aaryahi De,
PAY14014,INV13014,CUST1014,2025-11-02 23:00:25,19796.46,UPI,BR68313,PENDING,False,2025-11-03 23:00:25,Myra Mand,
PAY14015,INV13015,CUST1015,2025-11-09 03:43:34,6095.17,NEFT,BR26389,FAILED,True,2025-11-11 03:43:34,Tarini Ramesh,
PAY14016,INV13016,CUST1016,2025-11-09 04:26:46,7141.39,NEFT,BR37600,SUCCESS,False,2025-11-09 04:26:46,Pranay Bhavsar,
PAY14017,INV13017,CUST1017,2025-11-04 08:30:31,5185.41,CHEQUE,BR81884,SUCCESS,True,2025-11-05 08:30:31,Ishaan Raval,
PAY14018,INV13018,CUST1018,2025-11-15 14:11:10,32065.18,NEFT,BR23622,PENDING,True,2025-11-15 14:11:10,Sana Sodhi,
PAY14019,INV13019,CUST1019,2025-11-28 13:32:23,2108.08,CHEQUE,BR50549,SUCCESS,True,2025-11-30 13:32:23,Lakshit Handa,
PAY14020,INV13020,CUST1020,2025-11-13 03:06:16,6284.51,RTGS,BR27206,FAILED,True,2025-11-13 03:06:16,Yasmin Khare,
PAY14021,INV13021,CUST1021,2025-11-03 05:54:57,2641.78,UPI,BR52624,PENDING,False,2025-11-05 05:54:57,Drishya Datta,
PAY14022,INV13022,CUST1022,2025-11-15 19:10:41,33600.53,CHEQUE,BR27709,FAILED,True,2025-11-17 19:10:41,Pari Lalla,
PAY14023,INV13023,CUST1023,2025-11-03 07:17:53,13080.07,CHEQUE,BR78610,FAILED,False,2025-11-04 07:17:53,Zara Saraf,
PAY14024,INV13024,CUST1024,2025-11-30 14:06:26,9422.51,RTGS,BR21738,PENDING,False,2025-12-01 14:06:26,Elakshi Venkataraman,
PAY14025,INV13025,CUST1025,2025-11-18 12:03:13,24805.82,RTGS,BR49789,SUCCESS,True,2025-11-20 12:03:13,Zaina Khosla,
PAY14026,INV13026,CUST1026,2025-12-02 08:43:24,38499.43,RTGS,BR55073,PENDING,False,2025-12-04 08:43:24,Tarini Dutt,
PAY14027,INV13027,CUST1027,2025-10-29 16:20:34,1131.75,CHEQUE,BR72530,PENDING,True,2025-10-30 16:20:34,Tara Kumer,
PAY14028,INV13028,CUST1028,2025-10-23 14:02:07,13016.34,RTGS,BR10946,FAILED,False,2025-10-23 14:02:07,Eva Agate,
PAY14029,INV13029,CUST1029,2025-11-13 18:24:35,10380.2,CHEQUE,BR61740,SUCCESS,True,2025-11-15 18:24:35,Advika Lal,
PAY14030,INV13030,CUST1030,2025-11-20 03:25:12,43118.52,CHEQUE,BR59592,SUCCESS,False,2025-11-20 03:25:12,Umang Bhagat,
PAY14031,INV13031,CUST1031,2025-10-23 14:39:01,14133.03,RTGS,BR77713,FAILED,False,2025-10-24 14:39:01,Parinaaz Zachariah,
PAY14032,INV13032,CUST1032,2025-11-28 23:05:20,39545.44,UPI,BR64120,SUCCESS,True,2025-11-28 23:05:20,Zaina Dhar,
PAY14033,INV13033,CUST1033,2025-11-07 10:14:36,6314.49,NEFT,BR93478,PENDING,False,2025-11-08 10:14:36,Devansh Roy,
PAY14034,INV13034,CUST1034,2025-11-22 01:07:21,38831.14,CHEQUE,BR34613,PENDING,True,2025-11-22 01:07:21,Anahi Ganguly,
PAY14035,INV13035,CUST1035,2025-10-26 16:42:04,4030.02,NEFT,BR34371,SUCCESS,False,2025-10-27 16:42:04,Advika Yogi,
PAY14036,INV13036,CUST1036,2025-10-23 12:17:53,4167.35,CHEQUE,BR11075,SUCCESS,True,2025-10-23 12:17:53,Aayush Sengupta,
PAY14037,INV13037,CUST1037,2025-10-25 12:31:32,1064.75,RTGS,BR54815,PENDING,False,2025-10-26 12:31:32,Manjari Rege,
PAY14038,INV13038,CUST1038,2025-11-06 02:41:48,59206.18,CHEQUE,BR14159,PENDING,True,2025-11-06 02:41:48,Samar Bansal,
PAY14039,INV13039,CUST1039,2025-11-26 07:19:12,2246.85,CHEQUE,BR19356,FAILED,False,2025-11-26 07:19:12,Stuvan Kara,
PAY14040,INV13040,CUST1040,2025-10-21 02:08:42,6562.67,UPI,BR60014,SUCCESS,True,2025-10-23 02:08:42,Lagan Tandon,
PAY14041,INV13041,CUST1041,2025-10-27 04:24:52,9130.79,CHEQUE,BR42396,FAILED,True,2025-10-27 04:24:52,Jivika Sekhon,
PAY14042,INV13042,CUST1042,2025-10-30 07:37:27,1743.18,NEFT,BR78306,FAILED,True,2025-10-31 07:37:27,Dhanuk Choudhry,
PAY14043,INV13043,CUST1043,2025-11-20 14:18:11,10419.56,UPI,BR52344,SUCCESS,True,2025-11-22 14:18:11,Chirag Dhawan,
PAY14044,INV13044,CUST1044,2025-11-02 12:36:41,22674.65,NEFT,BR43202,PENDING,False,2025-11-02 12:36:41,Raghav Subramanian,
PAY14045,INV13045,CUST1045,2025-10-23 15:37:01,13437.43,NEFT,BR97385,SUCCESS,True,2025-10-23 15:37:01,Indranil Savant,
PAY14046,INV13046,CUST1046,2025-11-14 18:56:29,19863.81,UPI,BR11974,SUCCESS,False,2025-11-16 18:56:29,Devansh Saha,
PAY14047,INV13047,CUST1047,2025-10-21 04:11:22,3797.98,RTGS,BR11170,SUCCESS,False,2025-10-23 04:11:22,Aaryahi Koshy,
PAY14048,INV13048,CUST1048,2025-11-03 07:39:11,9300.12,UPI,BR21728,SUCCESS,True,2025-11-04 07:39:11,Vidur Mander,
PAY14049,INV13049,CUST1049,2025-11-25 06:54:19,3132.7,UPI,BR91937,SUCCESS,True,2025-11-26 06:54:19,Indrans Savant,
PAY14050,INV13050,CUST1050,2025-11-22 19:53:53,19402.22,NEFT,BR26492,PENDING,True,2025-11-23 19:53:53,Arnav Banik,
