api_client_id,customer_id,api_key_hash,secret_hash,allowed_ips_json,rate_limit,scopes_json,created_at,last_used,active_flag
API6001,CUST1001,6923213b58d5920c65982553681c0f9f67122ebc7e5a0cead9c02c8c57dcabcc,394623d04830b3b1cfa13a8e477a917db03a640d,[],200,"[""orders"",""inventory""]",2025-01-08 14:08:35,2025-11-18 07:59:53,True
API6002,CUST1002,9d821f4c51b1c2b93fc74f59e2f0fc34706dfa9bf84e7363da5d24600cbb3177,058f9fca6491ac65f184319d9bbb770194d424f5,[],100,"[""orders"",""inventory""]",2025-03-30 15:36:57,2025-10-29 01:44:49,False
API6003,CUST1003,a9502e3434b67eb9ad781fcf6e6595c003a54778eb27183563735b0fba790f07,9ba597455bcc4b440bc3efd7ffca86ee2e7cf420,[],100,"[""orders"",""inventory""]",2024-11-23 23:48:41,2025-11-14 08:25:46,True
API6004,CUST1004,a2b0b89be92356073253f4f3bcdc0fbad3ba3c2273ac0a5dbf0f6074757ef1d9,72a2a3f7d860fc8802a3ec1bf9ce5ab19a5d450a,[],500,"[""orders"",""inventory""]",2025-02-20 09:54:41,2025-10-26 11:56:33,False
API6005,CUST1005,58fdacf49ec86c6481ca3b3529e5e254ba05b83675bb00c3cabf3743c8da75c7,4b643adbefa32a57c3c132e894645e2f71e06a12,[],200,"[""orders"",""inventory""]",2025-04-11 12:49:58,2025-11-15 03:07:43,False
API6006,CUST1006,8b21b30bf3d485ae1b7b5e2758eec76be2fbe7bee5a34b58333df57f2a15590d,999eef12d79331c8ac7196dd6e15dee7da4b70e1,[],200,"[""orders"",""inventory""]",2025-03-09 19:58:30,2025-11-22 13:07:30,True
API6007,CUST1007,6d5a04c048f6b2d87618382225af970979082674c488eeeb16a46733ea4c7263,f091cc21067499081db52b361a450322a26af588,[],200,"[""orders"",""inventory""]",2025-04-04 02:32:47,2025-11-09 02:45:10,True
API6008,CUST1008,036138c5ef6200210c27bb406e4d7ef512255fb12844a97a098dccac877aedb3,5766758a57927705a7ce763016a5e374e8077f42,[],500,"[""orders"",""inventory""]",2025-05-02 09:04:31,2025-09-06 03:33:05,True
API6009,CUST1009,8857cc556c15e766919e8a6c1f09e970bd7ab56ce52791fae48a33406d7332b0,6b7a6e8c19c1c7c6246f881b0872ce86b6b525a1,[],500,"[""orders"",""inventory""]",2024-11-30 16:19:17,2025-10-04 14:17:20,True
API6010,CUST1010,2bdd63ee8601a0993c5bf0596ca504e2b1a6ecbfacd5e332521219d5428aeb0f,a92fcd9f1c2c98e36839f0a57b71f8b29bea00a9,[],500,"[""orders"",""inventory""]",2024-10-29 20:58:26,2025-11-20 10:43:28,True
API6011,CUST1011,58488dc5b49e1ae06423237ac9458f01173d9f88daf7c3c01a0b20ba190b19f9,3b1bca625d35afd6c34d13ce26d549a53b472a43,[],500,"[""orders"",""inventory""]",2024-12-13 11:33:34,2025-09-10 08:04:39,False
