return_id,order_id,customer_id,requested_at,received_at,return_status,reason_code,qty_kg,refund_amount,credit_note_id,disposition,inspected_by,notes
RET15001,B2BORD4001,CUST1001,2025-09-12 06:20:32,2025-09-14 06:20:32,COMPLETED,QUALITY,5.25,755.54,CN17047,RESTOCK,Dhanuk Thaman,Packaging torn
RET15002,B2BORD4002,CUST1002,2025-09-21 19:10:34,2025-09-21 19:10:34,COMPLETED,EXCESS_QUANTITY,112.25,1085.47,CN17032,RESTOCK,Suhana Dash,Spoiled
RET15003,B2BORD4003,CUST1003,2025-11-11 00:34:58,2025-11-12 00:34:58,REJECTED,WRONG_ITEM,146.75,550.65,CN17039,RETURN_TO_SUPPLIER,Aniruddh Ranganathan,Customer complaint
RET15004,B2BORD4004,CUST1004,2025-10-18 01:02:11,2025-10-18 01:02:11,APPROVED,EXCESS_QUANTITY,59.84,526.7,CN17024,DISCARD,Eva Deo,Customer complaint
RET15005,B2BORD4005,CUST1005,2025-10-13 09:39:43,2025-10-16 09:39:43,APPROVED,DAMAGED,124.33,728.15,CN17040,RESTOCK,Kiara Balakrishnan,Packaging torn
RET15006,B2BORD4006,CUST1006,2025-10-26 23:22:30,2025-10-26 23:22:30,COMPLETED,QUALITY,105.29,995.1,CN17036,RESTOCK,Anika Sura,Spoiled
RET15007,B2BORD4007,CUST1007,2025-11-10 03:55:28,2025-11-12 03:55:28,REJECTED,EXCESS_QUANTITY,128.54,220.93,CN17034,RETURN_TO_SUPPLIER,Anika Chokshi,Customer complaint
RET15008,B2BORD4008,CUST1008,2025-11-04 05:37:55,2025-11-04 05:37:55,APPROVED,QUALITY,174.83,404.16,CN17032,RESTOCK,Zeeshan Suresh,Customer complaint
RET15009,B2BORD4009,CUST1009,2025-10-28 20:10:52,2025-10-28 20:10:52,COMPLETED,EXCESS_QUANTITY,105.64,1402.63,CN17017,RESTOCK,Alia Gera,Packaging torn
RET15010,B2BORD4010,CUST1010,2025-11-01 13:53:31,2025-11-02 13:53:31,REQUESTED,DAMAGED,186.11,417.48,CN17032,RESTOCK,Ayesha Dubey,Packaging torn
RET15011,B2BORD4011,CUST1011,2025-10-13 13:33:26,2025-10-13 13:33:26,REJECTED,EXCESS_QUANTITY,164.58,1588.5,CN17004,RETURN_TO_SUPPLIER,Dharmajan Bains,Packaging torn
RET15012,B2BORD4012,CUST1012,2025-09-04 23:11:06,2025-09-04 23:11:06,REQUESTED,WRONG_ITEM,16.51,431.8,CN17034,RESTOCK,Navya Ramanathan,Customer complaint
RET15013,B2BORD4013,CUST1013,2025-11-30 22:44:05,2025-12-01 22:44:05,COMPLETED,QUALITY,39.43,1313.75,CN17037,RETURN_TO_SUPPLIER,Anaya Dhingra,Customer complaint
RET15014,B2BORD4014,CUST1014,2025-09-08 09:28:10,2025-09-11 09:28:10,REQUESTED,WRONG_ITEM,135.22,1405.1,CN17028,RESTOCK,Kimaya Sankaran,Customer complaint
RET15015,B2BORD4015,CUST1015,2025-10-18 05:48:02,2025-10-19 05:48:02,COMPLETED,WRONG_ITEM,131.85,1067.8,CN17039,DISCARD,Chirag Kunda,Packaging torn
RET15016,B2BORD4016,CUST1016,2025-09-24 07:19:40,2025-09-26 07:19:40,REJECTED,WRONG_ITEM,83.06,1266.48,CN17047,DISCARD,Tushar Rau,Spoiled
RET15017,B2BORD4017,CUST1017,2025-11-07 23:36:27,2025-11-08 23:36:27,APPROVED,EXCESS_QUANTITY,153.38,1852.29,CN17017,DISCARD,Vaibhav Sharaf,Packaging torn
RET15018,B2BORD4018,CUST1018,2025-11-26 12:35:09,2025-11-29 12:35:09,COMPLETED,DAMAGED,145.54,1965.91,CN17039,RESTOCK,Inaaya  Agrawal,Spoiled
RET15019,B2BORD4019,CUST1019,2025-10-10 02:00:54,2025-10-11 02:00:54,REJECTED,DAMAGED,60.77,443.77,CN17021,RESTOCK,Aarav Lall,Spoiled
RET15020,B2BORD4020,CUST1020,2025-11-30 18:47:03,2025-12-02 18:47:03,APPROVED,DAMAGED,8.51,711.31,CN17009,DISCARD,Vedika Dara,Packaging torn
RET15021,B2BORD4021,CUST1021,2025-11-21 02:37:04,2025-11-22 02:37:04,APPROVED,WRONG_ITEM,162.4,183.81,CN17026,RETURN_TO_SUPPLIER,Arnav Aggarwal,Customer complaint
RET15022,B2BORD4022,CUST1022,2025-10-21 21:35:46,2025-10-21 21:35:46,REJECTED,EXCESS_QUANTITY,35.41,1651.41,CN17045,RETURN_TO_SUPPLIER,Akarsh Bedi,Spoiled
RET15023,B2BORD4023,CUST1023,2025-09-03 23:45:36,2025-09-03 23:45:36,REJECTED,DAMAGED,146.43,1152.57,CN17006,RESTOCK,Suhana Boase,Packaging torn
RET15024,B2BORD4024,CUST1024,2025-09-16 05:54:51,2025-09-18 05:54:51,COMPLETED,EXCESS_QUANTITY,186.12,241.08,CN17050,RESTOCK,Jayan Sarna,Spoiled
RET15025,B2BORD4025,CUST1025,2025-10-11 19:34:52,2025-10-11 19:34:52,COMPLETED,DAMAGED,61.65,82.36,CN17035,RETURN_TO_SUPPLIER,Mannat Bail,Customer complaint
RET15026,B2BORD4026,CUST1026,2025-10-04 07:50:39,2025-10-06 07:50:39,APPROVED,QUALITY,11.05,1463.16,CN17026,DISCARD,Shanaya Badami,Spoiled
