tracking_event_id,dispatch_id,event_ts,event_type,gps_lat,gps_long,scanned_by,scan_photo_url,location_name,status_note,created_at,device_id
TRK12001,DISP11001,2025-11-25 05:52:19,DELIVERED,22.010592,72.238881,Himmat Sridhar,,Nadiad,,2025-11-17 10:35:09,DEV3717
TRK12002,DISP11002,2025-11-27 09:18:27,DELIVERED,22.140371,72.159222,Kanav Chaudhry,,Nadiad,,2025-12-01 16:02:59,DEV3395
TRK12003,DISP11003,2025-12-01 10:26:15,OUT_FOR_DELIVERY,22.939175,72.04042,Shayak Chandra,,Navsari,,2025-11-24 21:12:38,DEV4796
TRK12004,DISP11004,2025-11-24 18:18:50,PICKED,22.264357,72.234019,Raunak Manda,,Rajkot,,2025-11-28 09:42:17,DEV9485
TRK12005,DISP11005,2025-12-01 00:50:56,IN_TRANSIT,22.388093,72.917902,Tiya Raju,,Ahmedabad,,2025-11-28 04:30:06,DEV1653
TRK12006,DISP11006,2025-11-23 22:33:06,IN_TRANSIT,22.103225,72.968441,Purab Bakshi,,Bhavnagar,,2025-12-01 02:34:43,DEV5314
TRK12007,DISP11007,2025-11-30 13:58:56,DELIVERED,22.54435,72.17385,Kabir Dhingra,,Gandhinagar,,2025-11-20 23:46:51,DEV6985
TRK12008,DISP11008,2025-11-25 18:04:16,DELIVERED,22.653337,72.835469,Mishti Som,,Anand,,2025-11-18 03:59:01,DEV5121
TRK12009,DISP11009,2025-11-22 16:29:34,OUT_FOR_DELIVERY,22.972674,72.222899,Pihu Shanker,,Gandhinagar,,2025-11-28 13:05:08,DEV6781
TRK12010,DISP11010,2025-11-25 02:54:28,IN_TRANSIT,22.486862,72.48211,Uthkarsh Char,,Nadiad,,2025-11-22 18:26:33,DEV1108
TRK12011,DISP11011,2025-11-24 00:20:44,DELIVERED,22.882034,72.439899,Neelofar Comar,,Rajkot,,2025-11-17 11:35:37,DEV2263
TRK12012,DISP11012,2025-11-30 08:56:14,DELIVERED,22.643477,72.211517,Tarini Chada,,Vadodara,,2025-11-24 19:30:38,DEV3578
TRK12013,DISP11013,2025-11-25 11:30:23,IN_TRANSIT,22.60202,72.816955,Damini Dar,,Rajkot,,2025-12-01 07:04:54,DEV7793
TRK12014,DISP11014,2025-12-01 07:58:16,IN_TRANSIT,22.720256,72.481517,Aradhya Bhargava,,Navsari,,2025-11-20 16:14:09,DEV8848
TRK12015,DISP11015,2025-11-23 09:43:08,LOADED,22.590791,72.647259,Tejas Kota,,Gandhinagar,,2025-11-30 11:46:22,DEV1367
TRK12016,DISP11016,2025-11-29 12:39:45,LOADED,22.043144,72.573487,Kismat Barad,,Vadodara,,2025-11-18 14:25:12,DEV3207
TRK12017,DISP11017,2025-11-24 04:02:53,DELIVERED,22.039191,72.572269,Faiyaz Mane,,Ahmedabad,,2025-11-29 14:28:10,DEV3725
TRK12018,DISP11018,2025-12-02 06:51:11,IN_TRANSIT,22.922447,72.516641,Anaya Singhal,,Gandhinagar,,2025-11-21 08:14:17,DEV1305
TRK12019,DISP11019,2025-11-25 19:13:20,IN_TRANSIT,22.947254,72.216593,Nehmat Ratta,,Nadiad,,2025-11-26 03:04:04,DEV8723
TRK12020,DISP11020,2025-11-24 12:47:03,OUT_FOR_DELIVERY,22.170567,72.830364,Advika Handa,,Nadiad,,2025-12-01 05:44:38,DEV3338
TRK12021,DISP11021,2025-11-29 11:09:51,DELIVERED,22.820453,72.181884,Taimur Bora,,Anand,,2025-11-30 12:12:20,DEV5333
TRK12022,DISP11022,2025-11-24 22:41:38,LOADED,22.724187,72.342671,Divij Soman,,Navsari,,2025-12-01 02:47:35,DEV2127
TRK12023,DISP11023,2025-11-28 00:23:16,LOADED,22.378211,72.132213,Dishani Mani,,Ahmedabad,,2025-11-26 01:15:14,DEV4315
TRK12024,DISP11024,2025-11-23 16:28:15,DELIVERED,22.859592,72.50436,Yuvaan Gola,,Gandhinagar,,2025-11-18 18:12:14,DEV3450
