customer_id,external_customer_code,first_name,last_name,email,phone,dob,gender,created_at,last_login,marketing_opt_in,preferred_language,status,source_channel
CUST1001,EC10000,Azad,Bhardwaj,shlok.devi@example.com,+91 9019011530,1962-12-28,Male,2025-06-03 05:05:00,2025-11-26 09:02:06,True,Gujarati,INACTIVE,Referral
CUST1002,EC10001,Yuvaan,Gour,anahi.luthra@example.com,+91 9210873187,1983-08-09,Male,2025-10-14 18:49:24,2025-11-23 14:56:59,True,Hindi,ACTIVE,Website
CUST1003,EC10002,Dhanush,Bail,rasha.sachdev@example.com,+91 7147543378,1958-05-09,Other,2024-12-16 06:49:14,2025-11-03 07:50:14,True,Hindi,ACTIVE,Website
CUST1004,EC10003,Stuvan,Ram,dhruv.varkey@example.com,+91 9762019721,1963-04-05,Other,2025-06-26 02:35:38,2025-11-20 21:50:57,True,English,ACTIVE,Organic
CUST1005,EC10004,Ishaan,Rout,sana.desai@example.com,+91 7247064024,1988-11-30,Male,2025-07-26 16:18:42,2025-11-13 23:50:52,False,English,INACTIVE,Website
CUST1006,EC10005,Misha,Chokshi,mishti.chauhan@example.com,+91 8575977079,1975-06-05,Male,2025-06-17 18:29:14,2025-11-30 11:00:10,False,Hindi,INACTIVE,Organic
CUST1007,EC10006,Dharmajan,Dhar,bhavin.bhatt@example.com,+91 9266181764,1981-10-12,Other,2025-07-19 02:06:08,2025-11-21 06:49:04,True,Gujarati,ACTIVE,Mobile App
CUST1008,EC10007,Mamooty,Bassi,samar.sarma@example.com,+91 8257116304,1978-07-29,Male,2025-08-05 09:02:18,2025-11-19 10:37:38,True,Hindi,ACTIVE,Organic
CUST1009,EC10008,Parinaaz,Lall,badal.sachar@example.com,+91 8194163163,1956-03-14,Other,2025-06-15 21:29:59,2025-11-25 18:00:46,False,Hindi,ACTIVE,Organic
CUST1010,EC10009,Tushar,Krish,trisha.gara@example.com,+91 7629340582,1986-04-14,Female,2025-04-08 23:29:31,2025-11-07 04:28:41,True,Gujarati,INACTIVE,Mobile App
CUST1011,EC10010,Prisha,Cherian,faiyaz.kumar@example.com,+91 9922815200,2006-10-17,Other,2025-02-27 03:41:14,2025-11-29 04:19:19,True,English,ACTIVE,Website
CUST1012,EC10011,Himmat,Char,ayesha.bala@example.com,+91 8536484659,2000-03-11,Male,2025-09-16 13:35:47,2025-11-28 11:56:24,True,English,INACTIVE,Organic
